Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2016,Onondaga,Pratts Falls Park,NA,April,200,Brook Trout,8
2017,Broome,Oquaga Creek,Sanford,April,170,Brown Trout,12.6
2016,Hamilton,Misery Pond,Morehouse,January,450,Brook Trout,5
2015,Cattaraugus,Ischua Creek,Franklinville,April,950,Brown Trout,12.8
2011,Westchester,Cross River Reservoir Outlet,Bedford,March,80,Brown Trout,8.8
2012,Chenango,Genegantslet Creek,Smithville,May,100,Brown Trout,13.3
2017,Erie,Sprague Brook Park Veteran's P,Concord,April,80,Brown Trout,12.6
2016,Franklin,Little Trout River,"Burke, Bellmont",April,690,Brown Trout,8.7
2011,Greene,Schoharie Creek,Lexington,April,400,Brown Trout,13.1
2011,Hamilton,Seventh Lake,NA,November,40,Landlocked Salmon,24
2017,Onondaga,Onondaga Creek,NA,March,225,Brown Trout,8
2014,Herkimer,Peaked Mountain Lake,Webb,September,850,Brook Trout,3.4
2013,Chautauqua,Findley Lake,Mina,June,5500,Walleye,1.4
2018,Franklin,Chateaugay River,Chateaugay,April,640,Brook Trout,8.1
2016,Wayne,Lake Ontario,Sodus,May,13790,Brown Trout,8
2015,Essex,West Branch Ausable River,North Elba,September,500,Brown Trout,14
2012,Oneida,Mohawk River East Branch,Ava,April,840,Brown Trout,8.2
2016,Warren,Mill Pond 2,Horicon,May,300,Rainbow Trout,10
2012,Orange,Island Pond,Tuxedo,March,1250,Brook Trout,8.6
2017,Warren,Brown's Pond,Hague,April,100,Brook Trout,9.8
2015,Monroe,Irondequoit Creek,Mendon,April,19490,Steelhead,5.2
2015,Onondaga,Limestone Creek,NA,March,1500,Brown Trout,8
2017,Herkimer,West Cananda Creek,NA,May,4370,Brown Trout,8
2016,Rockland,Stony Brook,Ramapo,March,300,Brown Trout,8.9
2014,Onondaga,Nine Mile Creek,NA,April,600,Brook Trout,6
2018,Essex,The Branch,Elizabethtown,September,400,Brook Trout,6
2018,Orleans,Oak Orchard Creek,Carlton,May,106560,Chinook,3.2
2012,Oneida,Oriskany Creek,"Kirkland, Marshall",April,430,Brown Trout,13.1
2018,Essex,Mirror Lake,North Elba,May,1000,Rainbow Trout,13
2013,Otsego,Schenevus Creek,Maryland,April,3270,Brown Trout,7.9
2017,Suffolk,Carmans River,Brookhaven,March,210,Brown Trout,8.8
2018,Lewis,Harrisville F&g Pond,Diana,May,300,Brook Trout,8.4
2017,Tioga,Cayuta Creek,Barton,April,1820,Brown Trout,9.1
2018,Hamilton,Lake Eaton,Long Lake,May,2500,Lake Trout,7
2017,Hamilton,Pillsbury Lake,Arietta,September,1250,Brook Trout,5
2018,Orleans,Lake Ontario,Carlton,May,18230,Brown Trout,7.5
2014,Suffolk,Hards Lake,Brookhaven,April,100,Brown Trout,13.3
2015,Essex,Boquet River,Lewis,May,100,Brown Trout,13.1
2012,Essex,East Branch Ausable River,Keene,March,25,Rainbow Trout,18
2015,Franklin,Debar Pond,Duane,May,450,Splake,8.2
2014,Herkimer,Bubb Lake,Webb,September,2000,Brook Trout,3.4
2011,Essex,Roes Pond (Special Kids Fishing Area),Moriah,May,500,Rainbow Trout,14
2011,Onondaga,Nine Mile,NA,May,1000,Brook Trout,8.3
2012,Livingston,Hemlock Lake,Livonia,April,3200,Lake Trout,7.9
2011,Herkimer,Twitchell Lake,Webb,April,1870,Brook Trout,8.4
2011,Warren,Buttermilk Pond,Horicon,October,300,Brook Trout,5
2011,Onondaga,Butternut Creek,NA,March,1400,Brown Trout,8
2011,St Lawrence,Cowhorn Pond,Clifton,October,500,Brook Trout,5.5
2018,Seneca,Seneca Lake,Lodi,September,43000,Brown Trout,5.5
2013,Broome,Chenango Lake,Fenton,May,3000,Rainbow Trout,9.8
2018,Hamilton,Brown Pond,Indian Lake,October,200,Brook Trout,4.6
2015,Wayne,Lake Ontario,Pultneyville,October,58084,Lake Trout,4.3
2016,Madison,Sangerfield River,Hamilton,January,510,Brown Trout,8
2011,Warren,Hovey Pond,Queensbury,April,300,Brook Trout,10.9
2012,Madison,Chittenango Creek,Cazenovia,May,500,Brown Trout,13.3
2017,Allegany,Genesee River,Amity,March,5240,Brown Trout,9
2015,Sullivan,Callicoon Creek,Delaware,May,170,Brown Trout,8.8
2018,Delaware,Delaware River East Branch,Roxbury,April,50,Brown Trout,13
2012,Cattaraugus,Red House Brook,Red House,March,800,Brown Trout,8
2016,Nassau,Upper Twin Pond,Hempstead,October,800,Brown Trout,12
2012,Jefferson,Grass Lake,Theresa,April,960000,Walleye,0.4
2018,Cortland,Little York Lake,Homer,April,3910,Rainbow Trout,8.3
2017,Hamilton,Trout Lake,Morehouse,October,1250,Brook Trout,5
2015,Dutchess,Sprout Creek,East Fishkill,March,1970,Brown Trout,8.3
2017,Ulster,Plattekill Creek,Saugerties,April,310,Brown Trout,13.3
2016,Allegany,Allen Lake,NA,October,25,Rainbow Trout,20.3
2018,Jefferson,Black River,Watertown,May,1100,Brown Trout,13.2
2013,Cayuga,North Brook,Brutus,April,1160,Brown Trout,9
2018,Putnam,Peekskill Hollow Brook,Putnam Valley,April,700,Brown Trout,9.1
2018,Oneida,Mohawk River,Rome,April,6790,Brown Trout,8.5
2014,Warren,Hudson,NA,May,125,Brown Trout,9
2013,Warren,Schroon River,"Bolton, Brant Lk, Chester, Hor",May,1890,Brown Trout,8.2
2012,Hamilton,Indian River,Indian Lake,April,500,Brown Trout,12.8
2011,Sullivan,Willowemoc Creek,Rockland,June,230,Brown Trout,8.6
2015,Ulster,Rondout Reservoir,"Denning, Wawarsing",May,4540,Brown Trout,8.8
2015,Essex,Big Marsh Pond,North Hudson,October,1300,Brook Trout,4.3
2013,Franklin,Chateaugay River,Chateaugay,May,250,Brown Trout,13.1
2014,Oswego,Lake Ontario,Richland,May,31010,Brown Trout,7.7
2012,Rockland,Ramapo River,Sloatsburg,March,620,Brown Trout,8.5
2018,Essex,Boreas River,Minerva,April,400,Brown Trout,12
2015,Fulton,Canada Lake,Caroga,April,1800,Brown Trout,7.8
2018,Essex,Boreas River,Minerva,April,800,Rainbow Trout,13
2012,Franklin,Chateaugay River,Chateaugay-Bellmont,April,1440,Brook Trout,8.2
2014,Delaware,Big Pond,Andes,April,220,Brown Trout,8.9
2015,Cattaraugus,North Branch Sawmill Run,South Valley,March,130,Brown Trout,8.5
2015,Sullivan,Beaver Brook,Highland,May,50,Brown Trout,12.8
2017,Cattaraugus,Connoisarauley Creek,Ashford,March,400,Brook Trout,8.2
2015,Chautauqua,Cassadaga Creek,"Poland, Ellicot, Gerry",October,500,Muskellunge,8.7
2016,Essex,Ausable River,Chesterfield,March,300,Brown Trout,12
2013,Suffolk,Connetquot River,Islip,May,730,Brown Trout,9.1
2018,Putnam,Croton River East Branch,Southeast,March,300,Brown Trout,13
2016,Hamilton,Beaver Lake,Morehouse,January,1200,Brown Trout,8
2014,Seneca,Cayuga Lake,NA,October,2600,Lake Sturgeon,4.5
2011,Cattaraugus,Conewango Creek,Conewango,October,200,Muskellunge,8.6
2011,Schoharie,West Kill,Blenheim,April,420,Brown Trout,8.8
2015,St Lawrence,Allen Pond,Clare,October,600,Brook Trout,4.5
2012,Delaware,Carrs Creek,Sidney,April,440,Brown Trout,8.6
2014,Sullivan,Callicoon Creek East Branch,Callicoon,April,390,Brown Trout,8.7
2016,Lewis,Soft Maple Reservoir,"Croghan, Watson",September,1600,Tiger Muskellunge,10.2
2017,Delaware,Big Pond,Andes,May,250,Rainbow Trout,9.2
2018,Oneida,Mohawk River,Western,May,870,Brown Trout,9
2017,Fulton,Knapps Long Lake,Stratford,October,500,Brook Trout,5
2012,Cattaraugus,Olean Creek,Hinsdale,October,250,Muskellunge,8.4
2017,Madison,Payne Brook,Hamilton,May,450,Brown Trout,8
2017,Onondaga,Nine Mile,NA,April,1900,Brown Trout,8.1
2014,Dutchess,Wappingers Creek,Stanford,May,1120,Brown Trout,8.7
2017,Essex,Whortleberry Pond,Schroon,October,1900,Brook Trout,4
2018,Suffolk,Nissequogue River,Smithtown,April,260,Rainbow Trout,9
2018,St Lawrence,Pine Pond,Piercefield,September,480,Brook Trout,4.5
2014,Dutchess,Fishkill Creek,Fishkill,April,220,Brown Trout,8.4
2014,Lewis,Crystal Creek,New Bremen,April,470,Brown Trout,8.1
2011,Onondaga,Nine Mile Creek,NA,May,1467,Brown Trout,8.5
2018,Sullivan,Callicoon Creek East Branch,Delaware,May,300,Brown Trout,8.9
2015,Oneida,Mohawk River,Rome,March,3400,Brown Trout,7.8
2013,Columbia,Weed Mines Pond,Ancram,April,200,Rainbow Trout,8
2015,Onondaga,Nine mile creek,NA,May,1800,Brown Trout,8.5
2016,Essex,Lost Pond,Ticonderoga,May,1000,Rainbow Trout,8.3
2018,Suffolk,Upper Lake,Brookhaven,April,350,Rainbow Trout,9
2013,Sullivan,Little Beaverkill,Liberty,April,240,Brown Trout,13.2
2017,Clinton,Saranac River,Saranac,April,2230,Brown Trout,8
2012,Chemung,Sing Sing Creek,Big Flats,April,180,Brown Trout,9.1
2016,Dutchess,Whaley Lake Brook,Beekman,April,560,Brown Trout,8.9
2013,Allegany,Genesee River,Wellsville,April,1090,Brown Trout,8.7
2017,Erie,Lake Erie,Evans,April,4130,Brown Trout,8.8
2017,Sullivan,Callicoon Creek East Branch,Delaware,April,180,Brown Trout,13
2017,Essex,Big Marsh Pond,North Hudson,October,1300,Brook Trout,4.3
2011,Genesee,Dewitt Pond,Batavia,March,500,Brown Trout,12.8
2012,Jefferson,ome,"Champion, Rutland",April,1150,Brook Trout,9
2014,Lewis,Rock Pond,Croghan,May,300,Brook Trout,9.6
2016,Madison,Beaver Creek,Brookfield,January,1970,Brown Trout,8
2015,Essex,Black River,Westport,June,550,Brook Trout,8
2015,Chenango,Otselic River,Pitcher,April,2150,Brown Trout,8
2017,Franklin,Black Pond,Santa Clara,September,300,Brook Trout,4
2015,Columbia,Claverack Creek,Claverack,April,2140,Brown Trout,8
2015,Cattaraugus,County Pond A,Randolph,April,90,Brook Trout,10
2018,Clinton,True Brook,Saranac,April,1150,Brook Trout,8.1
2017,Sullivan,Willowemoc Creek,Rockland,May,150,Brown Trout,13
2014,Cattaraugus,Conewango Creek,Conewango,October,200,Muskellunge,8.4
2014,Oneida,Mohawk River East Branch,Ava,April,830,Brown Trout,8.1
2017,Herkimer,Little Salmon Lake,Ohio,October,1000,Brook Trout,5
2017,Warren,Mill Pond,Horicon,May,450,Rainbow Trout,14.8
2017,Madison,Sangerfield River,Hamilton,May,500,Brown Trout,9
2011,Chemung,Eldridge Lake,Elmira,April,500,Rainbow Trout,8.9
2018,Nassau,Massapequa Reservoir,Oyster Bay,March,430,Rainbow Trout,8.9
2016,Warren,North Creek Rec.Pond,Johnsburg,March,250,Rainbow Trout,9
2014,Franklin,Little Trout River,"Burke, Constable",April,1120,Brown Trout,8.1
2013,Madison,Canaseraga Creek,Sullivan,April,650,Brown Trout,7.8
2017,Niagara,Eighteenmile Creek,Newfane,May,32710,Chinook,3.1
2017,Jefferson,Skinner Creek,Ellisburg,April,330,Brown Trout,8
2018,Rensselaer,Poesten Kill,Poestenkill,April,390,Brown Trout,7.8
2013,Essex,Lower Cascade Lake,Keene,April,500,Brook Trout,8
2011,Essex,Ausable River,Chesterfield,March,31774,Landlocked Salmon,7.5
2017,Saratoga,Palmer Lake,Edinburg,May,210,Brown Trout,7
2015,Essex,Ray Brook Pond,North Elba,June,500,Brook Trout,8
2017,Oneida,Sauquoit Creek,New Hartford,May,700,Brown Trout,8
2011,Oneida,Black River,Forestport,May,1080,Brook Trout,9.4
2015,Essex,Paradox Lake,Schroon,May,500,Landlocked Salmon,7
2016,Lewis,Oswegatchie River West Branch,Diana,January,700,Brook Trout,8.5
2016,Orange,Shingle Kill,Deerpark,March,870,Brown Trout,8.9
2018,Columbia,Kinderhook Creek,Chatham,May,400,Brown Trout,13.3
2018,Essex,Westport Club Pond,Westport,April,100,Brook Trout,8.1
2012,Suffolk,Carmans River,Brookhaven,April,100,Brown Trout,13.5
2011,Delaware,Delaware River West Branch,Kortright,April,760,Brown Trout,8.6
2015,Essex,Westport Reservoir 1,Westport,April,90,Brook Trout,8
2012,Steuben,Cohocton River,Cohocton,April,180,Brown Trout,13.9
2016,Ulster,Esopus Creek,Shandaken,April,2160,Brown Trout,8.9
2016,Essex,Pharaoh Lake,Schroon,October,10000,Brook Trout,4.2
2018,Hamilton,Dewitt Pond,Arietta,September,160,Brook Trout,5
2016,Franklin,Rollins Pond,"Santa Clara, Altmnt",April,620,Lake Trout,7
2011,Dutchess,Ten Mile River,Amenia,March,100,Brown Trout,12.8
2013,Dutchess,Ten Mile River,Amenia,April,580,Brown Trout,8.7
2012,Cattaraugus,Harwood Lake,Farmersville,April,2020,Brook Trout,8.8
2015,Otsego,Basswood Pond,Burlington,May,260,Brown Trout,8.3
2013,Cortland,East Branch Tioughnioga River,Truxton,April,1310,Brown Trout,7.5
2012,Cattaraugus,Maples Club Pond,Otto,April,290,Brook Trout,8.9
2016,Nassau,Upper Twin Pond,Hempstead,October,700,Brown Trout,12.2
2015,Monroe,Genesee River,Rochester,October,16350,Coho,4.4
2015,Essex,Triangle Pond,North Hudson,October,300,Brook Trout,4.3
2012,Franklin,Green Pond,Santa Clara,April,240,Splake,7.9
2012,Ulster,Mill Brook,Rochester,April,380,Brown Trout,8.5
2011,Chenango,Mill Brook,Oxford,September,800,Brown Trout,4.9
2013,Essex,Mirror Lake,North Elba,May,1300,Rainbow Trout,9.1
2012,Oneida,Black River,Forestport,June,890,Brown Trout,8.6
2017,Suffolk,Connetquot River,Islip,March,250,Brown Trout,9
2018,Wayne,Port Bay,"Huron,Wolcott",June,10400,Walleye,1.6
2018,Herkimer,Hawk Pond,webb,October,750,Brook Trout,4.4
2011,Franklin,Black Pond,Santa Clara,May,400,Rainbow Trout,7.9
2014,Essex,Cold Brook,WILLSBORO,June,400,Brook Trout,9
2017,Clinton,Scribner Pond,Plattsburgh,May,100,Rainbow Trout,8.5
2013,Essex,Oliver Pond,Schroon,May,510,Brown Trout,8
2011,Essex,Livingston Pond,Newcomb,October,200,Brook Trout,5.2
2017,Oswego,Little Salmon River,Mexico,May,4600,Steelhead,6
2016,Chautauqua,Bear Lake,Pomfret,October,550,Muskellunge,8.7
2012,Fulton,Caroga Creek,"Johnstown, Caroga",April,980,Brown Trout,8.1
2018,Delaware,Charlotte Creek,Davenport,May,870,Brown Trout,9.1
2012,Erie,Cayuga Creek,Lancaster,April,10000,Steelhead,4.9
2012,Sullivan,Willowemoc Creek,Rockland,May,1330,Brown Trout,9.2
2016,Fulton,Mayfield Creek,Mayfield,January,220,Brook Trout,8
2017,Essex,Lower Preston Pond,Newcomb,September,900,Brook Trout,4
2016,Dutchess,Ten Mile River,Dover,April,230,Brown Trout,13.5
2017,Delaware,Delaware River West Branch,Delhi,April,2150,Brown Trout,8.9
2015,Delaware,Launt Pond,Tompkins,October,1300,Rainbow Trout,7
2017,Erie,Main Park Pond - Village of Cl,Clarence,April,300,Rainbow Trout,9
2018,Warren,Up Yonda Farm,Bolton,May,10,Rainbow Trout,9.75
2013,Essex,Otter Pond,Ticonderoga,September,200,Brook Trout,3.4
2015,Oneida,Oriskany Creek,"Kirkland, Marshall",May,3420,Brown Trout,8
2014,Essex,Schroon River,North Hudson,May,1630,Brown Trout,8.8
2016,Onondaga,Glacier Lake,Dewitt,April,24300,Walleye,0.3
2014,Essex,Stony Pond,Minerva,October,2900,Brook Trout,3.7
2018,Hamilton,Clear Pond,Long Lake,May,610,Rainbow Trout,9
2011,Herkimer,Mohawk River,NA,August,4000,Tiger Muskellunge,7.8
2012,Allegany,Genesee River,Wellsville,March,2220,Brown Trout,8
2014,Suffolk,Upper Lake,Brookhaven,April,150,Brown Trout,13.6
2013,Monroe,Salmon Creek,Parma,April,5050,Steelhead,5.3
2016,Essex,Bartlett Pond,North Elba,October,200,Brook Trout,4
2012,St Lawrence,Hopkinton Brook,Hopkinton,April,750,Brown Trout,8
2016,Monroe,Irondequoit Creek,"Brighton, Penfield, Perinton",April,1250,Brown Trout,13.5
2011,Warren,Lake George,"Bolton, Hague",June,17000,Landlocked Salmon,6
2011,Ulster,Esopus Creek,Shandaken,May,2120,Brown Trout,8.7
2018,Monroe,Irondequoit Creek,Pittsford,May,175,Brown Trout,13
2013,Cortland,East Branch Tioughnioga River,Truxton,April,300,Brown Trout,13.3
2012,Putnam,West Branch Reservoir,Carmel,March,4430,Brown Trout,8.8
2016,Suffolk,Laurel Lake,Southold,April,300,Rainbow Trout,9.1
2013,Putnam,Lake Gilead,Carmel,April,1450,Brown Trout,8.9
2014,Cattaraugus,Allegheny River,"Cold Spring, South Valley",June,5700,Sauger,1.8
2013,Orange,Ramapo River,Tuxedo,April,400,Brown Trout,13.2
2017,Cattaraugus,Elton Creek,Freedom,April,200,Brown Trout,13.5
2011,Lewis,Bonaparte Lake,Diana,June,850,Lake Trout,5.9
2014,Lewis,Oswegatchie River West Branch,Croghan,May,650,Brook Trout,9.6
2011,Clinton,Park Brook,"Altona, Moores",November,500,Brown Trout,5.9
2013,Franklin,Rollins Pond,"Santa Clara, Altmnt",April,500,Landlocked Salmon,6.6
2015,St Lawrence,Cat Mountain Pond,Clifton,October,400,Brook Trout,4.5
2014,Clinton,Mud Pond,Black Brook,May,127,Brown Trout,8.2
2015,St Lawrence,Oswegatchie River,Clifton,May,340,Brown Trout,13.4
2011,Greene,Schoharie Creek,"Jewett, Hunter",April,1020,Brown Trout,8.3
2014,St Lawrence,St. Regis River,Brasher Falls,October,1000,Lake Sturgeon,5.8
2011,Hamilton,Pillsbury Lake,Arietta,September,700,Brook Trout,4.1
2011,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",June,5000,Brown Trout,9.8
2013,Rockland,Hessian Lake,Stony Point,March,580,Brown Trout,8.6
2013,Chautauqua,Chautauqua Lake,"Chautauqua, Ellery",October,4360,Muskellunge,8.6
2014,St Lawrence,Ozonia Lake,Hopkinton,May,2370,Rainbow Trout,9
2017,Sullivan,Neversink River,Fallsburg,May,850,Brook Trout,9
2012,Warren,Lixard Pond,Thurman,November,450,Brook Trout,4.8
2011,Tompkins,Enfield Creek,Enfield,April,1410,Brown Trout,9
2018,Sullivan,Willowemoc Creek,Rockland,April,1570,Brown Trout,9.1
2016,Greene,Kaaterskill,Catskill,April,1290,Brown Trout,9
2018,Cattaraugus,Haskell Creek,Hinsdale,April,700,Brook Trout,9.2
2016,Dutchess,Ten Mile River,Dover,April,1030,Brown Trout,9
2017,Westchester,Muscoot Reservoir,Somers,April,1000,Rainbow Trout,9.2
2013,Cattaraugus,County Pond B,Randolph,April,100,Brook Trout,9.4
2018,Ulster,Mill Brook,Rochester,April,370,Brown Trout,9
2012,Cattaraugus,Red House Lake,Red House,May,670,Brown Trout,9
2014,Franklin,Salmon River,Malone,April,860,Brown Trout,8.1
2011,St Lawrence,Cat Mountain Pond,Clifton,October,200,Brook Trout,5.5
2014,Onondaga,Limestone Creek (West Branch),NA,March,300,Brown Trout,7.5
2018,Washington,West Branch Black Creek,Hebron,April,300,Brook Trout,8.3
2015,Essex,Brother Ponds,Moriah,October,500,Brook Trout,4.3
2017,Sullivan,Callicoon Creek East Branch,Delaware,April,20,Brown Trout,13
2011,Allegany,Little Genesee Creek,Bolivar,March,2060,Brook Trout,8.5
2015,Otsego,Otego Creek,Hartwick,April,510,Brown Trout,7.8
2013,Franklin,Chateaugay River,Chateaugay,May,400,Rainbow Trout,9.1
2012,Herkimer,Twitchell Lake,Webb,May,1920,Brook Trout,9
2017,Sullivan,Ten Mile River,Tusten,May,60,Brown Trout,13
2014,Rensselaer,Poesten Kill,Brunswick,May,80,Brown Trout,9.1
2018,Cattaraugus,Case Lake,NA,October,50,Brook Trout,20.3
2015,Sullivan,Neversink River,Fallsburg,May,600,Brown Trout,8.8
2017,Madison,Cowaselon Creek,Oneida,April,1070,Brown Trout,8
2011,Hamilton,Rock Lake,Benson,September,100,Brook Trout,4.1
2015,Chemung,Post Creek,Catlin,March,250,Brown Trout,12.9
2013,Franklin,Echo Pond,Santa Clara,October,500,Brook Trout,4.8
2011,Essex,Henderson Lake,Newcomb,October,3300,Brook Trout,5.2
2014,Niagara,Oppenheim Park Pond,Wheatfield,April,100,Brown Trout,13.7
2011,Washington,Cossayuna Lake,Argyle,September,2300,Tiger Muskellunge,9.4
2016,Warren,Second Pond,Johnsburg,January,1400,Brook Trout,5
2012,Orange,Skanatati Lake,Tuxedo,March,440,Brown Trout,8.5
2015,Putnam,Croton River East Branch,Southeast,March,1600,Rainbow Trout,8.8
2012,Warren,New Lake,Stony Creek,May,400,Brown Trout,7.7
2014,Chautauqua,Canadaway Creek,Arkwright,April,50,Brown Trout,13.6
2017,Warren,Viele Pond,Warrensburg,April,300,Brook Trout,10.3
2012,Hamilton,Redlouse Lake,Arietta,September,200,Brook Trout,4.1
2018,Nassau,Massapequa Reservoir,Oyster Bay,April,440,Brown Trout,9
2015,Franklin,Rollins Pond,"Santa Clara, Altmnt",April,1000,Lake Trout,6.4
2016,Suffolk,Argyle Lake,Babylon,March,150,Brown Trout,13.4
2016,Hamilton,Piseco Lake,Arietta,January,3500,Lake Trout,6.5
2016,Albany,Lisha Kill,Colonie,March,340,Brown Trout,8.1
2012,Essex,Chapel Pond,Keene,September,500,Brook Trout,4.8
2012,Erie,Cazenovia Creek-East Branch,Aurora,April,90,Brown Trout,8.2
2013,Fulton,Middle Sprite Creek,"Oppenheim, Stratford",April,250,Brown Trout,7.9
2017,Chautauqua,Goose Creek,"N Harmony, Harmony",May,410,Brown Trout,9.4
2016,Schoharie,Mallet Pond,Fulton,April,230,Rainbow Trout,8.8
2016,Essex,Chapel Pond,Keene,April,200,Rainbow Trout,13
2015,Greene,Basic Creek,Greenville,April,470,Brown Trout,8.2
2011,Ulster,Rondout Creek,Wawarsing,May,640,Brown Trout,8.6
2014,Delaware,Beaver Kill,Colchester,April,520,Brown Trout,8.4
2012,Hamilton,High Rock Pond,Inlet,October,300,Brook Trout,4.1
2013,Cattaraugus,Case Lake,NA,October,350,Brook Trout,21.3
2012,Warren,North Creek,Johnsburg,April,1200,Rainbow Trout,9.35
2015,St Lawrence,Cowhorn Pond,Clifton,October,500,Brook Trout,4.5
2016,Cattaraugus,Elton Creek,Freedom,April,170,Brown Trout,8.4
2011,Cattaraugus,Quaker Lake,NA,October,140,Brook Trout,18.6
2011,Dutchess,Webatuck Creek,Northeast,March,1860,Brown Trout,8.5
2015,Niagara,Hyde Park Lake,Niagara Falls,April,1710,Brown Trout,8.3
2013,Oneida,Black River,"Boonville, Forestport",April,650,Brown Trout,12.8
2012,Greene,Schoharie Creek,Jewett,April,440,Brown Trout,8.6
2011,Monroe,Genesee River,Rochester,April,13990,Steelhead,4.4
2017,Hamilton,Slim Pond,Arietta,September,300,Brook Trout,5
2017,Delaware,Delaware River West Branch,"Hamden, Walton",April,3800,Brown Trout,8.8
2017,Essex,Spruce Mill Brook,Lewis,April,400,Brook Trout,7
2017,Westchester,Cross River Reservoir Outlet,Bedford,April,80,Brown Trout,8.8
2012,Lewis,Green Pond,Diana,October,400,Brook Trout,4.5
2016,Herkimer,Twitchell Lake,NA,May,1600,Lake Trout,6.5
2013,Greene,West Kill,Lexington,April,580,Brown Trout,8.4
2016,Monroe,Lake Ontario,Webster,May,5930,Rainbow Trout,8.4
2016,Greene,Basic Creek,Greenville,April,470,Brown Trout,9
2011,Warren,Hague Creek,Hague,May,300,Brook Trout,10.5
2018,Hamilton,Crotched Pond,Indian Lake,September,2230,Brook Trout,3.5
2017,Greene,Batavia Kill,Windham,May,80,Brown Trout,9
2012,St Lawrence,Sucker Lake,Fine,May,440,Brown Trout,8.1
2012,Washington,Whipple Brook,Cambridge,April,380,Brook Trout,9.2
2016,Herkimer,Middle Branch Lake,Webb,January,1200,Brook Trout,5
2018,Jefferson,Skinner Creek,Ellisburg,May,350,Brown Trout,8.1
2011,Jefferson,South Sandy Creek,Ellisburg,May,100000,Chinook,3.2
2012,Warren,Mill Creek,Johnsburg,April,888,Brook Trout,9.26
2011,Greene,Kaaterskill,Catskill,May,100,Brown Trout,13.3
2015,Madison,Oneida Creek,Smithfield,April,340,Brown Trout,7.9
2012,Columbia,Kinderhook Creek,Chatham,March,2220,Brown Trout,8.4
2012,Oneida,Fish Creek West Branch,"Annsville, Camden",May,3100,Brown Trout,8.5
